id,catfam,priam,deepec,deepectransformer-regular,deepectransformer-learnt,ecpred,ecrecer,blastp,clean-triplet,clean-supcon,enzbert-regular,enzbert-learnt,proteinbert-regular,proteinbert-learnt,stacked,ec_number,majority-voting-regular,majority-voting-learnt
WP_063460136,-,-,-,5.3.1.31,5.3.1.31,5.-.-.-,3.2.1.4,-,5.1.3.11,5.1.3.11,1.-.-.-,5.1.3.11,5.3.1.31,"4.2.3.163,5.1.3.11,4.2.3.171,5.3.1.31,3.2.1.156",5.1.3.11,5.3.1.7,5.3.1.31,5.1.3.11
WP_063462980,-,-,4.2.1.43,2.2.1.2,2.2.1.2,4.3.-.-,4.3.3.7,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,"4.2.1.43,4.1.2.51",4.1.2.28,4.2.1.43,4.2.1.43,4.2.1.43
WP_063462990,-,-,1.1.1.311,1.3.1.87,1.3.1.87,1.1.1.-,1.-.-.-,1.1.1.175,1.1.1.390,1.1.1.390,1.1.1.-,1.1.1.-,1.1.1.-,"1.1.1.-,1.1.1.390",1.1.1.-,1.1.1.48,1.1.1.-,1.1.1.-
WP_041412631,-,-,4.2.1.9,4.2.1.9,"4.2.1.25,4.2.1.12",1.-.-.-,4.2.1.9,4.2.1.-,4.2.1.9,"4.2.1.9,4.2.1.162,4.2.1.12",4.2.1.-,4.2.1.-,4.2.1.9,4.2.1.9,4.2.1.-,4.2.1.25,4.2.1.9,4.2.1.9
WP_011717048,-,5.1.3.3,-,5.1.3.3,5.1.3.3,5.-.-.-,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3
WP_011717064,-,-,-,3.1.1.99,"3.1.1.99,3.1.1.15",3.1.1.-,3.1.1.31,3.1.1.99,3.1.1.99,3.1.1.99,3.1.1.17,"3.1.1.15,3.1.1.17",4.2.2.6,"3.1.1.99,4.2.2.6,3.1.1.15",3.1.1.15,3.1.1.15,3.1.1.99,3.1.1.99
WP_011717945,-,-,-,2.7.1.8,"2.7.1.59,2.7.1.8",2.7.1.-,2.7.1.2,2.7.1.8,2.7.1.8,2.7.1.8,2.7.1.59,2.7.1.59,2.7.1.59,2.7.1.59,2.7.1.8,2.7.1.59,2.7.1.8,"2.7.1.8,2.7.1.59"
WP_014239822,-,-,-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.99.-,1.3.8.-,1.3.8.9,1.3.8.-,1.3.8.-,1.3.8.-,1.3.99.-,1.3.99.-,1.3.8.-,1.3.8.7,"1.3.99.-,1.3.8.-","1.3.99.-,1.3.8.-"
WP_012431492,-,-,-,5.3.1.31,5.3.1.31,5.5.-.-,3.2.1.4,-,5.3.1.31,5.3.1.31,1.-.-.-,5.1.3.11,5.3.1.31,"5.3.1.31,3.2.1.156",5.3.1.31,5.3.1.7,5.3.1.31,5.3.1.31
WP_012431722,-,-,-,1.3.8.7,"4.2.1.2,1.3.8.7",1.-.-.-,1.3.8.13,1.3.8.-,"1.3.8.8,1.3.8.9,1.3.8.-",1.3.8.-,1.3.99.-,1.3.8.1,1.3.8.10,1.3.8.10,1.3.8.-,1.3.8.7,1.3.8.-,1.3.8.-
WP_012434194,-,-,-,1.1.1.14,"1.1.1.9,1.1.1.301",1.1.1.103,1.1.1.103,1.1.1.-,1.1.1.303,1.1.1.103,1.1.1.-,1.1.1.-,1.1.1.103,1.1.1.103,1.1.1.-,1.1.1.9,1.1.1.103,1.1.1.103
WP_012434361,-,-,1.1.1.311,1.1.1.100,1.1.1.53,1.1.1.-,1.-.-.-,1.1.1.390,1.1.1.390,"1.1.1.175,1.1.1.390",1.1.1.-,"1.1.1.-,1.1.1.390",1.1.1.-,"1.1.1.-,1.1.1.390",1.1.1.-,1.1.1.48,1.1.1.-,1.1.1.390
WP_012434437,-,-,-,1.2.1.71,"1.2.1.88,1.2.1.32,1.2.1.71",1.2.1.-,1.2.1.71,-,1.2.1.77,1.2.1.77,1.2.1.3,1.2.1.3,1.2.1.81,1.2.1.81,1.2.1.3,1.2.1.3,1.2.1.71,1.2.1.71
WP_012434865,-,-,-,4.2.1.9,4.2.1.25,4.2.1.-,4.2.1.9,4.2.1.-,4.2.1.162,4.2.1.162,4.2.1.-,4.2.1.-,4.2.1.9,4.2.1.9,4.2.1.-,4.2.1.25,"4.2.1.9,4.2.1.-",4.2.1.-
WP_012426462,-,-,-,4.2.1.43,4.2.1.43,4.2.1.-,4.3.3.7,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.43
WP_012426549,-,-,2.6.1.62,2.6.1.113,"2.6.1.18,2.6.1.113",2.6.1.-,5.4.3.8,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.96,"2.6.1.18,2.6.1.96,2.6.1.113",2.6.1.18,2.6.1.19,2.6.1.113,2.6.1.113
WP_012426550,-,-,-,6.3.1.11,6.3.1.11,6.-.-.-,6.3.1.2,6.3.1.11,6.3.4.12,6.3.1.2,6.3.1.11,"1.4.1.4,6.3.1.11",6.3.1.2,"6.3.1.2,6.3.1.11",6.3.1.2,6.3.1.11,"6.3.1.11,6.3.1.2",6.3.1.11
WP_012428705,-,-,1.1.1.107,1.1.1.107,1.1.1.107,1.-.-.-,1.1.1.-,1.1.1.107,1.1.1.107,1.1.1.107,1.1.1.107,1.1.1.107,1.1.1.107,"1.1.1.316,1.1.1.-,1.1.1.107",1.1.1.107,"1.1.1.122,1.1.1.173",1.1.1.107,1.1.1.107
