Q9J5G5	3.6.1.23
P0C6U5	3.4.19.12;3.4.22.69
Q8V3R4	2.7.7.19
Q95N00	1.97.1.10
P98039	1.9.3.1
J9VJP1	2.1.2.3;3.5.4.10
Q7ZWC3	3.6.1.55;3.6.1.56
Q9CZN7	2.1.2.1
P12933	2.7.7.49;2.7.7.7;3.1.26.4
P0C9A8	3.6.4.13
Q6E0W6	2.1.1.56;2.7.7.48
P14350	3.1.26.4;2.7.7.49;2.7.7.7
Q86VQ6	1.8.1.9
M1L514	2.7.7.6
Q3B7D2	2.3.1.50
A0A1S3Z5Y0	2.7.11.24
A5U3A6	2.7.11.1
Q8KUU5	2.8.1.7;4.4.1.16
P18147	2.7.7.6
B8YB61	2.7.7.6
Q0GBY0	2.1.1.56;2.7.7.48
Q8ZNR5	2.5.1.17
P0C8G4	6.3.2.19
P17395	2.7.7.49;2.7.7.7;3.1.26.4
Q8KAZ0	2.3.1.129
O61722	3.1.3.48
N0A3C0	3.4.22.66;2.7.7.48;3.6.1.15
F8UL81	4.2.3.57
Q38RY0	1.9.3.1
Q77373	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q8RSS3	6.3.5.5
P00346	1.1.1.37
P0C6F7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
O47698	1.9.3.1
D4A2Z8	3.6.4.13
Q84687	2.7.7.48;3.6.4.13
O47701	1.9.3.1
P55262	2.7.1.20
E9PSL7	2.7.11.1
P74111	2.7.13.3
P07071	1.17.4.2
P21034	2.7.7.6
Q9YMP9	3.4.22.50
Q9ZXX8	1.9.3.1
P20234	2.7.7.48;3.4.22.44
Q83356	3.1.1.53
P50761	3.6.4.12
P0DSU7	2.7.7.6
P0C6T4	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P82473	3.4.22.67
B1NKQ9	2.7.7.48
P27551	3.6.4.12
P05959	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
I3PLR2	3.1.1.1
P12915	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P26192	2.1.1.56;2.7.7.50
O82521	2.6.1.96
Q6WNV7	2.1.1.56;2.7.7.50
Q50LF0	1.5.3.1
Q72XC1	2.7.1.21
P07832	2.7.7.48
Q27493	2.7.7.6
P58866	2.1.1.248
Q89940	2.1.1.45
A0A7H0DNC7	2.7.7.6
Q5UQW1	2.7.7.6
Q99MD6	1.8.1.9
P03318	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q9U2H1	2.7.11.1
Q1LUA6	2.7.11.1
O55528	2.1.1.56;2.7.7.48
Q5UQW2	3.6.1.52
F5HAW0	1.17.4.1
O11436	2.7.7.48;3.4.22.44;3.4.22.45
Q9QSK1	5.99.1.3
Q7S9V5	3.1.3.8
Q50LE9	1.5.3.1
Q9J942	2.7.7.48;3.6.4.13
A0A1S3WYR7	4.1.1.19
Q37595	1.9.3.1
P20495	3.1.3.48
P50644	1.17.4.1
P51715	2.1.1.72
O41174	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q4WBI8	1.14.13.72
D2K762	2.5.1.21
P33424	2.7.7.48
P08763	2.1.1.72
Q5R761	3.4.19.12
Q9XI87	2.7.11.1
Q9JLT4	1.8.1.9
B2BW43	2.7.1.48
P31352	2.1.1.56;2.7.7.48
O41965	3.4.19.12
Q91FD5	2.7.11.1
Q581T1	3.6.4.13
P10272	3.1.26.4;2.7.7.49;2.7.7.7
A0A0U5G0B1	2.5.1.29
Q90033	2.7.1.21
A7X665	2.7.1.134;2.7.1.159
Q9WIJ5	3.6.1.3
Q2HRD0	2.7.7.7
Q9JHC0	1.11.1.9
Q8CIH9	2.4.2.14
P68544	2.1.1.57
P20504	2.7.7.6
P0DUM7	4.2.1.28
A0A0H2ZM56	1.1.1.1;1.2.1.10
C9E894	2.5.1.21
A0A384JTK5	3.2.1.4
Q8BDD7	3.6.4.12
P03162	2.7.7.49;2.7.7.7;3.1.26.4
Q9DR81	3.1.1.53
Q9QM72	3.4.22.39
Q9EMI7	2.3.1.97
Q8BZT7	3.1.1.4
P04588	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q6QDB6	2.4.1.91
P05961	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
F2XF95	4.2.3.119;4.2.3.120
P08361	3.1.26.4;2.7.7.49;2.7.7.7
Q21633	6.3.2.19
P0DOO5	2.7.7.7
A5U3S4	1.4.3.3
P19028	3.6.1.23;2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7
Q9ILI6	2.7.7.48
O57191	2.7.7.7
A0A0B5L585	1.1.1.205
P25328	2.7.7.48
Q9EA41	2.7.7.48
F5L9G2	1.4.1.20
Q4AEH1	1.11.1.12
P12869	3.4.23.44
Q59680	1.1.1.94
Q9RR27	1.1.1.133
