P13559	3.2.1.17
I1RZ92	5.3.3.2
P0C691	2.7.7.49;2.7.7.7;3.1.26.4
P26809	3.1.26.4;2.7.7.49;2.7.7.7
P03556	2.7.7.49
P0C568	2.1.1.56;2.7.7.48
O24676	1.14.12.11;1.14.12.3
A3MZ45	2.7.9.3
Q9MTX9	3.6.3.14
P60820	2.7.9.3
B2BND9	2.1.1.56;2.7.7.50
P11204	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
P74111	2.7.13.3
P98032	1.9.3.1
E5D8F2	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q1WP01	2.7.7.48
P0C6U7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P36489	4.1.1.39
Q8THH1	2.8.4.1
Q9X6J5	2.4.2.18
J9VH94	2.7.11.1
Q67472	2.1.1.37
P0DOQ3	3.6.1.15
Q7VJ82	2.7.7.6
Q9GLL1	1.14.14.1
P0C6W8	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q6J847	2.7.7.48
P25466	3.2.1.18
P23335	2.7.1.21
P0DSV6	2.7.4.9
B0FRF9	2.7.3.3
P27220	3.6.4.12
Q41389	3.2.2.22
D3UAG0	2.4.1.91
Q7T6X2	2.7.11.1
Q38S11	1.9.3.1
P09247	1.17.4.1
Q306W7	3.4.21.90
O81191	4.2.3.108
P03300	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P06209	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
B7JIE1	2.5.1.75
A0A0D4WTV1	3.1.4.41
Q9QL88	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
A0A2I4HXH5	3.1.3.5
P21968	3.2.2.27
Q9Q720	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q694A3	1.15.1.1
Q5W9E3	1.3.1.32
P0C6W1	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P0DSS7	1.17.4.1
Q92R44	1.20.4.1
O57030	2.7.7.6
P27285	3.4.21.90
A0A2H5AIX5	6.2.1.12
A0A142I5B9	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q6DPJ8	3.2.1.18
