query_ID	profile_ID	query_length	profile_length	align_length	query_from	query_to	profile_from	profile_to	profile_proportion	bit_score	e-value	positive_hit_probability	is_best_overlap	found_catalytic_pattern	profile_linked_ECs
WP_063460136	PRI013790	424	     409	     368	      64	     403	      59	     407	    0.85	   63.95	7.8E-12     	0.002	T	-	5.1.3.11	
WP_063460136	PRI000726	424	     402	      85	     300	     379	     284	     367	    0.21	    35.5	9.1E-3     	0	F	-	5.1.3.8	
WP_063462980	PRI012082	294	     309	     293	       1	     293	      16	     308	    0.95	  466.77	3E-168     	0.183	T	-	4.2.1.43	
WP_063462980	PRI002230	294	     241	     160	       3	     156	      11	     158	    0.61	   44.76	3.8E-6     	0.001	F	-	4.2.1.41	
WP_063462980	PRI012920	294	     472	      60	       8	      64	     242	     283	    0.09	   30.37	2.4E-1     	0	F	-	3.2.1.105	
WP_063462980	PRI000903	294	     725	      34	     152	     184	     141	     173	    0.05	   29.76	3.9E-1     	0	F	-	3.4.24.71	
WP_063462980	PRI014042	294	     102	      25	      80	     104	      53	      77	    0.25	   27.09	9.5E-1     	0.001	F	-	5.1.2.3;4.2.1.17;1.1.1.35	
WP_063462990	PRI212791	280	     124	      77	     210	     278	      46	     122	    0.62	   42.64	4.7E-6     	0	T	-	(1.3.1.28)	
WP_063462990	PRI012888	280	     138	     133	      33	     161	       2	     134	    0.96	   41.24	1.8E-5     	0	T	-	1.1.1.100	
WP_063462990	PRI213011	280	     125	      97	     181	     264	      17	     109	    0.74	   40.29	3.2E-5     	0	F	-	(1.1.1.288)	
WP_063462990	PRI000099	280	     133	      39	      36	      74	       5	      43	    0.29	   39.16	9.6E-5     	0	F	-	1.3.1.28	
WP_063462990	PRI012763	280	     138	      39	      34	      70	       3	      41	    0.28	   38.32	1.8E-4     	0	F	-	1.3.1.56	
WP_063462990	PRI212624	280	     117	      91	     194	     280	      29	     117	    0.76	   38.04	1.9E-4     	0	F	-	(1.1.1.53)	
WP_063462990	PRI000115	280	     115	     117	     166	     278	       2	     112	    0.97	   37.19	2.9E-4     	0	F	-	1.1.1.100	
WP_063462990	PRI212878	280	     116	     101	     187	     278	      23	     113	    0.78	   36.84	5E-4     	0	F	-	(1.1.1.107)	
WP_063462990	PRI000106	280	     142	      28	      41	      68	      10	      37	     0.2	   37.21	5.3E-4     	0	F	-	1.1.1.140	
WP_063462990	PRI012744	280	     125	     127	      41	     158	       7	     123	    0.94	   36.49	6.5E-4     	0	F	-	1.1.1.304	
WP_063462990	PRI012779	280	     133	      20	      34	      53	       1	      20	    0.15	   35.53	1.5E-3     	0	F	-	1.3.1.38	
WP_063462990	PRI003200	280	     130	      31	      33	      63	       1	      31	    0.24	   35.18	2.3E-3     	0	F	-	1.1.1.206	
WP_063462990	PRI000091	280	     135	      95	      34	     123	       1	      91	    0.67	   34.99	2.8E-3     	0	F	-	1.1.1.62	
