query_ID	profile_ID	query_length	profile_length	align_length	query_from	query_to	profile_from	profile_to	profile_proportion	bit_score	e-value	positive_hit_probability	is_best_overlap	found_catalytic_pattern	profile_linked_ECs
A0A165KQE5	PRI013790	424	     409	     368	      64	     403	      59	     407	    0.85	   63.95	7.8E-12     	0.002	T	-	5.1.3.11	
A0A165KQE5	PRI000726	424	     402	      85	     300	     379	     284	     367	    0.21	    35.5	9.1E-3     	0	F	-	5.1.3.8	
A0A165L336	PRI002936	244	     130	     122	       7	     128	       5	     126	    0.94	  115.67	1.8E-33     	0.001	T	-	1.1.1.56	
A0A165L336	PRI212623	244	      90	      89	     134	     222	       2	      90	    0.99	   99.27	1E-27     	0.023	T	-	(1.1.1.56)	
A0A165L336	PRI002955	244	     124	      39	      13	      51	       7	      40	    0.27	   40.59	2.3E-5     	0	F	-	1.1.1.269	
A0A165L336	PRI000078	244	     135	     103	       7	      92	       2	      93	    0.68	   39.06	7.8E-5     	0	F	-	1.1.1.289	
A0A165L336	PRI000099	244	     133	      82	       9	      86	       5	      85	    0.61	   34.53	2.8E-3     	0	F	-	1.3.1.28	
A0A165L336	PRI012888	244	     138	     142	       6	     132	       2	     137	    0.99	   34.69	3.4E-3     	0	F	-	1.1.1.100	
A0A165L336	PRI003865	244	     124	      36	       9	      43	       1	      36	    0.29	   33.22	7.3E-3     	0	F	-	1.1.1.295	
A0A165L336	PRI003027	244	     127	      63	       7	      66	       3	      62	    0.47	   31.68	2.7E-2     	0	F	-	1.1.1.14	
A0A165L336	PRI011299	244	     124	      92	      15	     103	       6	      96	    0.73	    31.5	3E-2     	0	F	-	1.1.1.107	
A0A165L336	PRI002429	244	     122	      31	      10	      40	       1	      31	    0.25	   29.92	9.7E-2     	0	F	-	1.1.1.141	
A0A165L336	PRI000082	244	     129	      31	       7	      37	       3	      33	    0.24	   29.76	1.3E-1     	0	F	-	1.1.1.159	
A0A165L336	PRI000084	244	     157	      32	       9	      40	       5	      36	     0.2	   29.65	1.9E-1     	0	F	-	1.1.1.35	
A0A165L336	PRI012792	244	     135	      34	       8	      41	       3	      36	    0.25	   29.08	2.3E-1     	0	F	-	1.3.1.25	
A0A165L336	PRI000112	244	     150	      45	       9	      53	       5	      49	     0.3	    28.7	3.3E-1     	0	F	-	1.1.1.102	
